Test_File,Target,MSE,MAE,R2,SMAPE
20210730_mask pellet_air,CO,0.0248,0.1361,0.9786,6.5327
20210730_mask pellet_air,CO2,0.3684,0.5212,0.936,8.8125
20210730_mask pellet_air,CH4,0.0191,0.1018,0.9887,7.8718
20210730_mask pellet_air,H2,0.0811,0.237,0.9842,3.29
20210510_Mask pellet steam gasification,CO,0.0005,0.0169,0.9988,2.062
20210510_Mask pellet steam gasification,CO2,0.001,0.0233,0.9971,3.6618
20210510_Mask pellet steam gasification,CH4,0.0019,0.0283,0.9987,2.0875
20210510_Mask pellet steam gasification,H2,0.003,0.0348,0.9998,3.3299
22.05.25_mask co2 gasification without ac,CO,0.001,0.0292,0.9226,14.2825
22.05.25_mask co2 gasification without ac,CO2,0.0255,0.1403,0.9985,8.967
22.05.25_mask co2 gasification without ac,CH4,0.0024,0.0369,0.9977,7.9771
22.05.25_mask co2 gasification without ac,H2,0.0034,0.0497,0.9888,4.0261
220819_mask O2steam gasification without AC,CO,0.0008,0.0167,0.9997,14.5529
220819_mask O2steam gasification without AC,CO2,0.0015,0.034,0.9998,79.0665
220819_mask O2steam gasification without AC,CH4,0.0057,0.0555,0.9994,89.5255
220819_mask O2steam gasification without AC,H2,0.0167,0.116,0.998,77.6818
22.06.02_mask air gasification without ac,CO,0.0014,0.0238,0.9975,4.3821
22.06.02_mask air gasification without ac,CO2,0.0121,0.0693,0.9946,9.2828
22.06.02_mask air gasification without ac,CH4,0.0055,0.0625,0.9934,8.9865
22.06.02_mask air gasification without ac,H2,0.0035,0.0464,0.9955,7.0853
20210510_Mask pellet steam gasification,CO,0.0009,0.0244,0.998,2.874
20210510_Mask pellet steam gasification,CO2,0.0024,0.043,0.9932,6.6009
20210510_Mask pellet steam gasification,CH4,0.0023,0.035,0.9984,2.2265
20210510_Mask pellet steam gasification,H2,0.0062,0.05,0.9996,6.4013
22.04.07_co2 가스화 with AC,CO,0.0052,0.0601,0.9894,5.898
22.04.07_co2 가스화 with AC,CO2,0.1138,0.2248,0.9955,19.7125
22.04.07_co2 가스화 with AC,CH4,0.0065,0.0473,0.9968,17.0127
22.04.07_co2 가스화 with AC,H2,0.0665,0.2247,0.9896,12.1027
220608_mask o2steam gasification_without ac,CO,0.0014,0.0264,0.9992,27.7785
220608_mask o2steam gasification_without ac,CO2,0.0046,0.0429,0.9994,32.7247
220608_mask o2steam gasification_without ac,CH4,0.0079,0.0573,0.999,39.7028
220608_mask o2steam gasification_without ac,H2,0.0078,0.0665,0.9983,3.594
20210614_non-A.C_air가스화,CO,0.0007,0.0212,0.9983,4.0297
20210614_non-A.C_air가스화,CO2,0.0124,0.1075,0.9964,10.6982
20210614_non-A.C_air가스화,CH4,0.0021,0.0335,0.9962,3.5861
20210614_non-A.C_air가스화,H2,0.0325,0.1764,0.899,7.224
20210520_mask pellet_steam 가스화,CO,0.0011,0.0145,0.9983,12.7701
20210520_mask pellet_steam 가스화,CO2,0.0199,0.0367,0.9655,4.1488
20210520_mask pellet_steam 가스화,CH4,0.0036,0.0317,0.9984,12.6409
20210520_mask pellet_steam 가스화,H2,0.0861,0.055,0.9961,10.2831
22.04.07_co2 가스화 with AC,CO,0.0065,0.0692,0.9869,8.3843
22.04.07_co2 가스화 with AC,CO2,0.1191,0.2257,0.9953,17.5789
22.04.07_co2 가스화 with AC,CH4,0.0088,0.0514,0.9956,16.8222
22.04.07_co2 가스화 with AC,H2,0.3036,0.4646,0.9526,17.0621
220608_mask o2steam gasification_without ac,CO,0.0012,0.0239,0.9993,26.9991
220608_mask o2steam gasification_without ac,CO2,0.0065,0.0332,0.9991,32.9673
220608_mask o2steam gasification_without ac,CH4,0.0098,0.0706,0.9987,40.3096
220608_mask o2steam gasification_without ac,H2,0.0264,0.0718,0.9943,13.061
20210609_mask pellet air 가스화_2차,CO,0.0009,0.0194,0.9994,8.1716
20210609_mask pellet air 가스화_2차,CO2,0.0234,0.0336,0.9961,15.4297
20210609_mask pellet air 가스화_2차,CH4,0.0035,0.0403,0.9954,11.0314
20210609_mask pellet air 가스화_2차,H2,0.0294,0.0644,0.9949,1.5563
20210510_Mask pellet steam gasification,CO,0.0004,0.0145,0.9991,1.5895
20210510_Mask pellet steam gasification,CO2,0.0021,0.0369,0.9942,5.7446
20210510_Mask pellet steam gasification,CH4,0.0021,0.0306,0.9985,1.8742
20210510_Mask pellet steam gasification,H2,0.0056,0.0608,0.9997,3.4634
22.05.25_mask co2 gasification without ac,CO,0.0005,0.0193,0.9599,11.6522
22.05.25_mask co2 gasification without ac,CO2,0.0067,0.0605,0.9996,9.9706
22.05.25_mask co2 gasification without ac,CH4,0.0049,0.0595,0.9955,8.2925
22.05.25_mask co2 gasification without ac,H2,0.0013,0.029,0.9958,4.5252
220608_mask o2steam gasification_without ac,CO,0.0013,0.0243,0.9992,23.9131
220608_mask o2steam gasification_without ac,CO2,0.0094,0.0718,0.9987,36.0896
220608_mask o2steam gasification_without ac,CH4,0.01,0.0729,0.9987,40.5491
220608_mask o2steam gasification_without ac,H2,0.0154,0.0917,0.9967,21.0327
22.06.02_mask air gasification without ac,CO,0.0008,0.0198,0.9986,4.5781
22.06.02_mask air gasification without ac,CO2,0.0055,0.0357,0.9976,9.0226
22.06.02_mask air gasification without ac,CH4,0.0024,0.0351,0.9971,8.5373
22.06.02_mask air gasification without ac,H2,0.0117,0.1003,0.9849,8.8422
20210510_Mask pellet steam gasification,CO,0.0005,0.0179,0.9988,4.6508
20210510_Mask pellet steam gasification,CO2,0.0043,0.0524,0.988,6.9675
20210510_Mask pellet steam gasification,CH4,0.0021,0.0314,0.9986,5.9545
20210510_Mask pellet steam gasification,H2,0.0024,0.029,0.9999,6.4446
22.05.25_mask co2 gasification without ac,CO,0.0015,0.0359,0.8888,12.2326
22.05.25_mask co2 gasification without ac,CO2,0.0081,0.0632,0.9995,9.6737
22.05.25_mask co2 gasification without ac,CH4,0.0057,0.0669,0.9947,8.4592
22.05.25_mask co2 gasification without ac,H2,0.0179,0.1283,0.9409,7.2046
220718_mask o2steam gasification_with ac,CO,0.0093,0.0829,0.9771,1.8312
220718_mask o2steam gasification_with ac,CO2,0.0179,0.1029,0.9915,1.7044
220718_mask o2steam gasification_with ac,CH4,0.0133,0.0872,0.9926,3.9848
220718_mask o2steam gasification_with ac,H2,0.0375,0.1592,0.9949,1.2227
22.06.02_mask air gasification without ac,CO,0.0009,0.0232,0.9983,4.1884
22.06.02_mask air gasification without ac,CO2,0.006,0.035,0.9973,7.7581
22.06.02_mask air gasification without ac,CH4,0.0059,0.0654,0.9929,9.4658
22.06.02_mask air gasification without ac,H2,0.0022,0.0355,0.9972,5.7019
20210520_mask pellet_steam 가스화,CO,0.0009,0.012,0.9987,12.5867
20210520_mask pellet_steam 가스화,CO2,0.0248,0.0358,0.9569,5.5178
20210520_mask pellet_steam 가스화,CH4,0.0065,0.0304,0.9971,12.6163
20210520_mask pellet_steam 가스화,H2,0.0813,0.0715,0.9963,5.9667
22.05.25_mask co2 gasification without ac,CO,0.0003,0.0134,0.9798,7.137
22.05.25_mask co2 gasification without ac,CO2,0.0214,0.139,0.9987,10.71
22.05.25_mask co2 gasification without ac,CH4,0.002,0.0307,0.9981,7.7611
22.05.25_mask co2 gasification without ac,H2,0.0027,0.0436,0.991,2.9867
220718_mask o2steam gasification_with ac,CO,0.0044,0.0533,0.9892,1.1616
220718_mask o2steam gasification_with ac,CO2,0.0052,0.0504,0.9975,1.0171
220718_mask o2steam gasification_with ac,CH4,0.0117,0.0795,0.9935,2.2445
220718_mask o2steam gasification_with ac,H2,0.0286,0.1344,0.9961,0.9956
22.06.02_mask air gasification without ac,CO,0.0012,0.026,0.9978,4.0898
22.06.02_mask air gasification without ac,CO2,0.0087,0.0811,0.9961,9.1662
22.06.02_mask air gasification without ac,CH4,0.0037,0.0478,0.9956,9.1399
22.06.02_mask air gasification without ac,H2,0.0107,0.0929,0.9862,9.0211
20210520_mask pellet_steam 가스화,CO,0.0011,0.0195,0.9983,13.029
20210520_mask pellet_steam 가스화,CO2,0.0315,0.0355,0.9453,4.9247
20210520_mask pellet_steam 가스화,CH4,0.0099,0.0376,0.9956,12.8452
20210520_mask pellet_steam 가스화,H2,0.1193,0.0804,0.9945,9.8629
22.05.25_mask co2 gasification without ac,CO,0.0011,0.0303,0.9202,11.5109
22.05.25_mask co2 gasification without ac,CO2,0.0051,0.0453,0.9997,10.4961
22.05.25_mask co2 gasification without ac,CH4,0.0018,0.0304,0.9983,7.6495
22.05.25_mask co2 gasification without ac,H2,0.0249,0.1542,0.9179,9.3042
220819_mask O2steam gasification without AC,CO,0.0022,0.0423,0.9993,59.3777
220819_mask O2steam gasification without AC,CO2,0.0176,0.1117,0.9982,89.1262
220819_mask O2steam gasification without AC,CH4,0.0057,0.0483,0.9994,80.9708
220819_mask O2steam gasification without AC,H2,0.0113,0.08,0.9986,12.2492
20210614_non-A.C_air가스화,CO,0.0015,0.0335,0.9965,4.5874
20210614_non-A.C_air가스화,CO2,0.0051,0.0647,0.9985,12.3709
20210614_non-A.C_air가스화,CH4,0.0028,0.0456,0.9949,4.0503
20210614_non-A.C_air가스화,H2,0.0095,0.0939,0.9705,4.8765
20210520_mask pellet_steam 가스화,CO,0.0023,0.0133,0.9966,12.719
20210520_mask pellet_steam 가스화,CO2,0.0411,0.0517,0.9287,4.7735
20210520_mask pellet_steam 가스화,CH4,0.0054,0.0282,0.9976,12.5814
20210520_mask pellet_steam 가스화,H2,0.0394,0.0542,0.9982,8.8416
22.04.07_co2 가스화 with AC,CO,0.0117,0.0907,0.9762,10.5991
22.04.07_co2 가스화 with AC,CO2,0.0903,0.1736,0.9964,19.467
22.04.07_co2 가스화 with AC,CH4,0.0199,0.0684,0.9901,17.0652
22.04.07_co2 가스화 with AC,H2,0.0912,0.2668,0.9858,14.7596
220819_mask O2steam gasification without AC,CO,0.0012,0.028,0.9996,44.6964
220819_mask O2steam gasification without AC,CO2,0.0019,0.0319,0.9998,75.9348
220819_mask O2steam gasification without AC,CH4,0.0053,0.0389,0.9994,77.1635
220819_mask O2steam gasification without AC,H2,0.0125,0.0935,0.9985,80.2909
20210614_non-A.C_air가스화,CO,0.0008,0.023,0.998,2.0055
20210614_non-A.C_air가스화,CO2,0.0115,0.1031,0.9967,10.6767
20210614_non-A.C_air가스화,CH4,0.001,0.0227,0.9982,3.6062
20210614_non-A.C_air가스화,H2,0.0057,0.0674,0.9823,2.5646
20210510_Mask pellet steam gasification,CO,0.001,0.0278,0.9977,3.2986
20210510_Mask pellet steam gasification,CO2,0.0041,0.0588,0.9886,8.3595
20210510_Mask pellet steam gasification,CH4,0.0029,0.0421,0.998,4.1867
20210510_Mask pellet steam gasification,H2,0.0031,0.0417,0.9998,6.5884
22.04.07_co2 가스화 with AC,CO,0.0079,0.0757,0.9839,8.3958
22.04.07_co2 가스화 with AC,CO2,0.116,0.2957,0.9954,19.7792
22.04.07_co2 가스화 with AC,CH4,0.0118,0.0513,0.9941,16.6001
22.04.07_co2 가스화 with AC,H2,0.1667,0.354,0.974,13.8808
220819_mask O2steam gasification without AC,CO,0.0009,0.018,0.9997,19.8693
220819_mask O2steam gasification without AC,CO2,0.0033,0.0497,0.9997,76.8294
220819_mask O2steam gasification without AC,CH4,0.0053,0.0445,0.9994,89.129
220819_mask O2steam gasification without AC,H2,0.0088,0.0767,0.9989,40.1655
20210614_non-A.C_air가스화,CO,0.0006,0.02,0.9985,2.6443
20210614_non-A.C_air가스화,CO2,0.0041,0.06,0.9988,9.2013
20210614_non-A.C_air가스화,CH4,0.0009,0.0213,0.9984,3.1671
20210614_non-A.C_air가스화,H2,0.0024,0.0373,0.9926,3.8362
20210520_mask pellet_steam 가스화,CO,0.0015,0.0183,0.9978,9.6306
20210520_mask pellet_steam 가스화,CO2,0.0343,0.0403,0.9404,8.3003
20210520_mask pellet_steam 가스화,CH4,0.0069,0.0531,0.9969,13.0336
20210520_mask pellet_steam 가스화,H2,0.0807,0.068,0.9963,3.3251
22.04.07_co2 가스화 with AC,CO,0.0058,0.0392,0.9883,5.0624
22.04.07_co2 가스화 with AC,CO2,0.8069,0.4807,0.9681,21.919
22.04.07_co2 가스화 with AC,CH4,0.0049,0.0387,0.9976,16.867
22.04.07_co2 가스화 with AC,H2,0.2867,0.4029,0.9553,22.7447
220718_mask o2steam gasification_with ac,CO,0.0024,0.0376,0.9941,0.8434
220718_mask o2steam gasification_with ac,CO2,0.0324,0.1487,0.9846,2.7297
220718_mask o2steam gasification_with ac,CH4,0.0108,0.0715,0.994,3.2328
220718_mask o2steam gasification_with ac,H2,0.087,0.2598,0.9882,1.9378
Average,CO,0.0028 ± 0.00,0.0335 ± 0.03,0.9874 ± 0.02,10.9149 ± 11.68
,CO2,0.0509 ± 0.14,0.1013 ± 0.11,0.9880 ± 0.02,18.4471 ± 22.16
,CH4,0.0061 ± 0.00,0.0483 ± 0.02,0.9965 ± 0.00,18.5202 ± 23.88
,H2,0.0458 ± 0.07,0.1191 ± 0.10,0.9855 ± 0.02,11.9833 ± 16.96
