model_type,Target,MSE,MAE,R2,SMAPE
RNN,CO,0.0077 ± 0.01,0.0310 ± 0.02,0.9883 ± 0.01,10.1155 ± 12.59
,CO2,0.0638 ± 0.08,0.0867 ± 0.07,0.9652 ± 0.07,16.0047 ± 17.16
,CH4,0.0106 ± 0.01,0.0459 ± 0.02,0.9943 ± 0.01,16.3374 ± 17.85
,H2,0.0634 ± 0.08,0.0767 ± 0.05,0.9905 ± 0.01,7.2117 ± 5.21
LSTM,CO,0.0028 ± 0.00,0.0335 ± 0.03,0.9874 ± 0.02,10.9149 ± 11.68
,CO2,0.0509 ± 0.14,0.1013 ± 0.11,0.9880 ± 0.02,18.4471 ± 22.16
,CH4,0.0061 ± 0.00,0.0483 ± 0.02,0.9965 ± 0.00,18.5202 ± 23.88
,H2,0.0458 ± 0.07,0.1191 ± 0.10,0.9855 ± 0.02,11.9833 ± 16.96
GRU,CO,0.0033 ± 0.00,0.0353 ± 0.02,0.9866 ± 0.03,10.3679 ± 9.50
,CO2,0.0697 ± 0.13,0.1290 ± 0.13,0.9884 ± 0.02,18.6088 ± 23.02
,CH4,0.0079 ± 0.01,0.0492 ± 0.02,0.9959 ± 0.00,17.9774 ± 23.17
,H2,0.0275 ± 0.04,0.0917 ± 0.06,0.9910 ± 0.01,9.5896 ± 16.22
