Feature,SHAP Mean,SHAP Std
PI-4,1.1776077310023936,3.7160263968069196
PI-3,0.8834441158339933,1.8091003154849805
PI-5,0.5677473129845978,1.3486823289435323
PI-2,0.5516458343944391,1.2095743967392625
CO(t-1),0.13235195454841406,0.39291206078237795
H2(t-1),0.060791668736823824,0.13410215283416305
CO2(t-1),0.055991685688528595,0.1395488823031548
FNC-2,0.051406546288961526,0.16031225459200013
CH4(t-1),0.037216052812446665,0.0813835608037698
TI-4,0.0291125071368973,0.07718878668473599
TI-3,0.01963559511924555,0.03730187606737338
FNC-1,0.014738711577793754,0.05740938042081759
TI-2,0.009946520998779658,0.018788512456585096
TI-5,0.0033113822807929643,0.008223021997386337
FNC-3,0.0027567836989995076,0.006915939865715498
Total N2 flow rate [g/min],0.0,0.0
Steam flow rate [g/min],0.0,0.0
CO2 flow rate [g/min],0.0,0.0
O2 flow rate [g/min],0.0,0.0
Actual feeding rate [g/min],0.0,0.0
